open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ema_12,ema_26,ema_50,ema_200,sma_20,sma_50,rsi_14,rsi_7,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,atr_14,volume_sma_20
2026-03-13 16:00:00,2128.01,2143.33,2090.28,2102.48,84455.4942,2026-03-13 19:59:59.999,178480710.423847,1141369,39958.1888,84460713.036238,2087.251930811012,2061.728939677652,2040.7027680937883,2101.077624451135,2064.7120000000004,2027.7322,64.82908377696839,61.99952240706844,25.522991133359938,20.095811516952462,5.427179616407475,2136.2292861251512,2064.7120000000004,1993.1947138748496,47.894285714285765,78395.251385
2026-03-13 20:00:00,2102.48,2116.66,2078.5,2092.22,41870.803,2026-03-13 23:59:59.999,87696290.63409,466662,19897.5493,41670392.929897,2088.016249147779,2063.9875367385666,2042.7230516979535,2100.989488884457,2065.3554999999997,2027.8374,58.05192344134923,58.497934660157576,24.028712409212403,20.88239169540445,3.1463207138079525,2137.654684962803,2065.3554999999997,1993.0563150371963,45.630714285714326,73490.331515
2026-03-14 00:00:00,2092.21,2103.42,2081.39,2101.16,31321.7837,2026-03-14 03:59:59.999,65531005.011702,346003,17646.7241,36925332.75033,2090.0383646635055,2066.74105253571,2045.0146967294063,2100.9911855124724,2068.5625,2028.3734,55.092104195406954,60.00289519397793,23.29731212779552,21.365375781882666,1.931936345912856,2141.2585975928773,2068.5625,1995.8664024071225,44.41000000000007,70774.84034999998
2026-03-14 04:00:00,2101.15,2106.09,2068.28,2077.46,38191.8421,2026-03-14 07:59:59.999,79691588.693297,365282,14637.848,30544980.405227,2088.1032316383507,2067.535048644176,2046.2870615635472,2100.757044363095,2070.6099999999997,2028.4654,55.179420490104505,32.24062473182879,20.56818299417455,21.205937224341042,-0.6377542301664931,2141.7960276057447,2070.6099999999997,1999.4239723942546,44.30142857142862,70986.98674499999
2026-03-14 08:00:00,2077.46,2081.64,2061.6,2073.67,26861.5463,2026-03-14 11:59:59.999,55633967.379555,270467,12461.8513,25812670.206388,2085.88273446322,2067.9894894853483,2047.3609022865453,2100.4875215336115,2073.2349999999997,2028.2628,61.36394450219191,37.253346554288576,17.893244977871746,20.543398775047187,-2.6501537971754416,2140.5091875889975,2073.2349999999997,2005.9608124110016,42.83500000000005,70491.896555
2026-03-14 12:00:00,2073.67,2080.65,2069.8,2074.72,22427.7115,2026-03-14 15:59:59.999,46541930.380164,240791,12013.023,24930980.834586,2084.1653906996476,2068.4880458197667,2048.43380807923,2100.231128284521,2076.344,2028.1006000000002,58.29756097560972,21.156242212808337,15.67734487988082,19.570187996013914,-3.8928431161330934,2137.253997588952,2076.344,2015.434002411048,41.9721428571429,69821.885985
2026-03-14 16:00:00,2074.72,2079.47,2069.19,2077.49,10772.0777,2026-03-14 19:59:59.999,22356889.032981,145527,4845.9659,10057884.045143,2083.1384075150863,2069.154857240525,2049.573266585927,2100.004848401093,2079.3285,2028.6297999999997,53.94850247791422,16.780641767490494,13.983550274561367,18.452860451723406,-4.46931017716204,2133.653837027288,2079.3285,2025.0031629727123,39.97571428571431,68548.13495
2026-03-14 20:00:00,2077.5,2099.69,2076.2,2096.16,22925.6209,2026-03-14 23:59:59.999,47893203.342343,216388,11803.9487,24658214.283113,2085.141729435842,2071.1552381856714,2051.400197308047,2099.9665912030723,2081.65,2030.9928,56.116215800010266,45.43220583983798,13.98649125017073,17.559586611412872,-3.5730953612421423,2134.6005063836637,2081.65,2028.6994936163364,37.56714285714289,63086.77287
2026-03-15 00:00:00,2096.16,2107.91,2083.35,2096.15,28619.3164,2026-03-15 03:59:59.999,59975681.87585,329471,15860.3479,33242618.102798,2086.8353095226357,2073.00670202377,2053.155091531261,2099.9286151712013,2082.6545,2033.2407999999998,56.913785922532284,53.33446461903982,13.82860749886595,16.813390788903487,-2.9847832900375373,2135.9198004356213,2082.6545,2029.3891995643792,36.98785714285717,60707.051470000006
2026-03-15 04:00:00,2096.15,2115.95,2096.13,2105.64,22147.2871,2026-03-15 07:59:59.999,46672740.402873,269950,10628.8902,22403907.640273,2089.7283388268456,2075.4239833553424,2055.2133232359174,2099.9854448709907,2085.338,2035.78,58.12588544828982,53.765971755211915,14.304355471503186,16.31158372542343,-2.0072282539202426,2137.490477500541,2085.338,2033.185522499459,35.65642857142858,60171.60194
2026-03-15 08:00:00,2105.64,2123.44,2105.64,2119.63,21019.7068,2026-03-15 11:59:59.999,44501332.874549,238048,12208.8901,25850658.647711,2094.3285943919464,2078.6985031067984,2057.7394674227444,2100.18091308123,2090.1505,2038.5683999999999,50.23451593505719,92.36487844082828,15.630091285147955,16.175285237368335,-0.5451939522203801,2135.557150787748,2090.1505,2044.7438492122526,31.307857142857138,59004.410560000004
2026-03-15 12:00:00,2119.63,2119.83,2086.34,2093.79,45875.4183,2026-03-15 15:59:59.999,96174221.630036,382588,19979.6209,41870649.265222,2094.2457337162623,2079.816391765554,2059.153213798323,2100.117321906292,2092.805,2040.7853999999998,48.38130538020497,64.00724032302978,14.429341950708476,15.826096580036364,-1.3967546293278872,2131.7931096580473,2092.805,2053.8168903419523,31.55285714285713,59486.948625
2026-03-15 16:00:00,2093.79,2117.86,2088.84,2113.49,31467.5941,2026-03-15 19:59:59.999,66224549.3549,397316,16479.8334,34676099.469283,2097.2063900676067,2082.3107331162537,2061.2840681591733,2100.2503833798614,2095.3379999999997,2043.2769999999998,47.794763661922275,71.4269923731624,14.895656951352976,15.640008654299686,-0.7443517029467106,2132.6740052548776,2095.3379999999997,2058.001994745122,30.636428571428528,58236.592300000004
2026-03-15 20:00:00,2113.49,2202.87,2110.0,2178.3,131696.615,2026-03-15 23:59:59.999,285262715.16276,1384357,70984.7921,153716607.00872,2109.682330057206,2089.421049181716,2065.8729282313625,2101.0269964805593,2100.6365,2047.2222,61.0019689345876,83.05029178414539,20.261280875489774,16.564263098537705,3.6970177769520696,2151.7570704911427,2100.6365,2049.5159295088574,30.947857142857078,59220.6328
2026-03-16 00:00:00,2178.29,2253.48,2164.73,2235.67,133968.0991,2026-03-16 03:59:59.999,296266200.83254,1206260,70747.3061,156271529.984124,2129.065048509943,2100.254304797885,2072.531636928172,2102.3667278588623,2108.9404999999997,2052.8316,75.57509889012637,86.48083259243768,28.810743712057956,19.013559221241756,9.7971844908162,2186.133720447975,2108.9404999999997,2031.7472795520243,33.49785714285709,62740.64598999999
2026-03-16 04:00:00,2235.67,2288.63,2235.67,2248.95,186961.7977,2026-03-16 07:59:59.999,422820355.647294,1148606,96153.2048,217456978.187948,2147.508887200721,2111.2688007387824,2079.4500041074593,2103.8252678801673,2117.7120000000004,2058.4188,79.750199309062,87.36306729264469,36.24008646193852,22.45886466938111,13.781221792557407,2215.167557611898,2117.7120000000004,2020.256442388103,34.554999999999964,67695.67283000001
2026-03-16 08:00:00,2248.95,2280.0,2234.92,2269.94,89322.6948,2026-03-16 11:59:59.999,201862268.639225,775540,48515.6327,109716629.794505,2166.344443015995,2123.0222229062797,2086.920200024814,2105.4781507868324,2125.2664999999997,2064.8642,80.63602700936623,88.03592925270854,43.32222010971509,26.631535757447907,16.690684352267183,2244.1598105593494,2125.2664999999997,2006.3731894406499,36.201428571428515,65822.84063
2026-03-16 12:00:00,2269.94,2308.54,2255.04,2273.88,178036.6219,2026-03-16 15:59:59.999,406976839.61902493,1861435,93993.7254,214930188.74423,2182.888374859688,2134.1968730613703,2094.2519568865864,2107.153791077511,2133.9915,2071.2372,88.4082909659758,87.45204681202345,48.69150179831786,31.0435289656219,17.64797283269596,2269.35653525448,2133.9915,1998.62646474552,37.32214285714281,72464.85864
2026-03-16 16:00:00,2273.88,2348.06,2270.0,2330.92,127675.3126,2026-03-16 19:59:59.999,295957836.624046,1319043,68793.1794,159393541.298265,2205.6624710351207,2148.768956538306,2103.5330566165244,2109.380320519526,2144.4865,2078.828,91.63295031558508,100.0,56.89351449681453,36.21352607186043,20.679988424954104,2305.697192119529,2144.4865,1983.275807880471,41.46642857142852,75507.750585
2026-03-16 20:00:00,2330.92,2386.02,2323.68,2352.97,129928.2495,2026-03-16 23:59:59.999,306153653.118639,1098427,67616.3476,159334726.860487,2228.3251677989483,2163.8949597576907,2113.3148975335234,2111.8040984248046,2155.7345,2087.021,92.16547961812398,100.0,64.43020804125763,41.85686246573987,22.573345575517756,2341.609817064042,2155.7345,1969.8591829359582,45.14428571428568,70277.279635
2026-03-17 00:00:00,2352.97,2376.66,2308.03,2320.0,159041.6195,2026-03-17 03:59:59.999,374112299.556244,1449118,81678.8024,192301606.954584,2242.4289881375717,2175.458296071936,2121.4201956694637,2113.875699435503,2166.6105,2094.1228,83.66791614605032,84.12155654016573,66.97069206563583,46.879628385719066,20.091063679916765,2364.436646052739,2166.6105,1968.7843539472606,49.31214285714282,74006.58589999999
2026-03-17 04:00:00,2320.01,2337.86,2294.15,2327.7,86783.2765,2026-03-17 07:59:59.999,200813210.987124,763581,42138.647,97493076.288108,2255.5476053471757,2186.7354593258665,2129.5095997608573,2116.0033044162446,2178.3845,2101.9348,83.15481986368067,79.12894853453192,68.81214602130922,51.266131912837096,17.54601410847212,2385.3858797537955,2178.3845,1971.3831202462047,50.756428571428515,76252.20957500002
2026-03-17 08:00:00,2327.71,2335.35,2304.0,2326.82,59820.3103,2026-03-17 11:59:59.999,138803427.787583,734745,28499.9809,66157016.330642,2266.512589139918,2197.112091968395,2137.2472625153337,2118.100982979267,2189.6675,2108.9216,82.94815026424804,76.74658240022008,69.40049717152306,54.89300496457429,14.507492206948768,2403.4351139987357,2189.6675,1975.8998860012646,51.241428571428514,77677.135905
2026-03-17 12:00:00,2326.81,2357.73,2304.27,2315.98,105064.0596,2026-03-17 15:59:59.999,244697393.849517,1472118,50538.779,117765622.268385,2274.122960041469,2205.9171221929582,2144.2563894755167,2120.069928422259,2201.5935,2115.5632,79.92885600455327,66.99896617929414,68.20583784851078,57.55557154136159,10.650266307149195,2415.616888222624,2201.5935,1987.5701117773763,53.64428571428568,81020.74678
2026-03-17 16:00:00,2315.98,2342.7,2312.44,2320.22,50434.4264,2026-03-17 19:59:59.999,117536308.119695,782903,22928.9377,53442626.642911,2281.2148123427814,2214.384002030517,2151.1569232215747,2122.061471423033,2213.921,2122.1236000000004,79.35606614956829,67.07191276156796,66.83081031226448,59.41061929554217,7.420191016722306,2425.305922222789,2213.921,2002.5360777772107,54.53428571428565,82199.390785
2026-03-17 20:00:00,2320.22,2344.69,2316.78,2317.39,32687.4093,2026-03-17 23:59:59.999,76131367.368274,394171,14351.3595,33429735.267528,2286.7802258285074,2222.0140759541823,2157.675867408964,2124.00503887156,2226.0544999999997,2128.0188,85.08661812704003,41.70040485829936,64.76614987432504,60.48172541129875,4.284424463026291,2431.5738726275954,2226.0544999999997,2020.5351273724043,54.13571428571423,82712.37567499999
2026-03-18 00:00:00,2317.38,2350.0,2307.0,2340.61,39754.8685,2026-03-18 03:59:59.999,92611158.050512,525080,20430.1139,47606753.569253,2295.0617295471984,2230.7989592168356,2164.849754961554,2126.1603121166195,2239.2105,2134.1528,85.24956543332517,42.525399129172854,64.26277033036286,61.23793439511157,3.024835935251282,2438.2722226124893,2239.2105,2040.148777387511,55.13428571428566,84161.51521499999
2026-03-18 04:00:00,2340.61,2342.0,2311.53,2317.74,32757.9854,2026-03-18 07:59:59.999,76151214.199179,366796,13593.8166,31596007.315832,2298.550694232245,2237.239036311885,2170.8454508454147,2128.066577667698,2250.2895,2140.6479999999997,74.88045107415601,48.4430972719756,61.311657920360176,61.252679100161295,0.05897882019888101,2440.2867336058425,2250.2895,2060.292266394157,50.67714285714279,84653.13344
2026-03-18 08:00:00,2317.73,2333.62,2263.43,2269.34,70784.1433,2026-03-18 11:59:59.999,162729954.561441,762820,31528.9113,72434897.809043,2294.056741273438,2239.6168854739676,2174.70798218481,2129.472283362547,2258.9489999999996,2145.4988,56.20645161290325,24.24081920903963,54.43985579947048,59.89011444002314,-5.450258640552661,2434.612676249995,2258.9489999999996,2083.2853237500044,49.351428571428514,86761.37478499999
2026-03-18 12:00:00,2269.33,2270.5,2168.97,2187.66,170394.1198,2026-03-18 15:59:59.999,377758114.567997,1948341,79174.835,175566531.784594,2277.688011846755,2235.768227290711,2175.2159044520727,2130.051265617646,2263.05,2148.232,40.977476814367726,14.14880461665291,41.919784556044306,56.29604846322738,-14.376263907183073,2427.0887066004148,2263.05,2099.0112933995856,52.82071428571424,94173.71642
2026-03-18 16:00:00,2187.67,2220.0,2166.87,2185.85,99070.471,2026-03-18 19:59:59.999,217212826.956233,1327834,47254.6715,103688766.499406,2263.5590869472544,2232.070580824732,2175.6329278068933,2130.606476905033,2266.361,2150.7152,36.880207195681294,14.839232639827074,31.488506122522267,51.33453999508636,-19.846033872564092,2420.590904383991,2266.361,2112.1310956160087,53.39571428571425,98076.25463
2026-03-18 20:00:00,2185.85,2206.88,2153.21,2203.39,75279.3007,2026-03-18 23:59:59.999,164559636.767892,754066,40382.2423,88321921.02393,2254.3023043399844,2229.9460933562336,2176.7214404419174,2131.3306910651822,2271.841,2153.196,39.44981590684581,20.54953365263431,24.35621098375077,45.93887419281924,-21.58266320906847,2406.8432143911195,2271.841,2136.8387856088802,53.40785714285711,99546.44875
