open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ema_10,ema_20,ema_50,sma_30,sma_52,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr_14,volume_sma_10,volume_ratio,price_change_1w,price_change_4w,price_change_12w,price_change_52w
2020-01-06,135.37,148.05,134.86,146.54,2799620.12572,2020-01-12 23:59:59.999,396698400.15528333,1165106,1406222.38169,199294531.19833887,149.7481460998707,164.31353771489657,196.24656775167742,190.18666666666667,181.27211538461538,40.773809523809526,-17.588050146607657,-14.883816591483452,-2.7042335551242047,211.16927714887407,165.8865,120.60372285112595,0.5459489126465874,0.2863812555445149,21.146428571428572,2222317.961966,1.259774781842326,8.251458964320001,2.863961813842475,-16.36799452117339,28.36370007007709
2020-01-13,146.56,179.5,142.27,166.79,4574976.7459,2020-01-19 23:59:59.999,751647663.202645,1572723,2274195.07543,373736492.9655367,152.84666499080328,164.54939126585882,195.0914082320038,185.46233333333333,182.22057692307692,44.81903093987156,-15.190986587007359,-14.945250590588234,-0.2457359964191248,210.91706948646478,165.68900000000002,120.46093051353526,0.5459393138526366,0.5121716448712172,21.80785714285714,2460216.675737,1.8595828534206191,13.818752559028248,26.269967446438038,-9.229931972789117,41.98518770749977
2020-01-20,166.79,171.47,155.55,167.86,2213273.18068,2020-01-26 23:59:59.999,363198924.9266879,875860,1099007.79288,180436165.8528524,155.57636226520268,164.86468733577703,194.02350986996444,181.301,183.29384615384612,47.21928366329152,-13.054472554989928,-14.567094983468573,1.512622428478645,209.67801082864486,165.02249999999998,120.3669891713551,0.5412051184371208,0.531770994747863,21.537142857142857,2508113.748025,0.8824452967585021,0.6415252712992592,24.933015778505506,-7.535529359920668,49.80812137438646
2020-01-27,167.91,193.43,165.22,188.44,2832021.07663,2020-02-02 23:59:59.999,505650270.3723618,1174753,1413689.17449,252431227.74152792,161.55156912607492,167.10995520856017,193.8045486985933,177.425,184.85307692307694,51.62407368931366,-9.590087230133065,-13.571693432801473,3.9816062026684076,209.5824639903438,164.993,120.4035360096562,0.5405012817555145,0.7629208550822414,20.388571428571424,2495349.126333,1.1349197780559672,12.260216847372796,39.20366403191253,-0.27519051651143656,75.52160953800298
2020-02-03,188.48,230.65,184.69,228.49,3470997.26544,2020-02-09 23:59:59.999,724859683.3634787,1581980,1745755.42148,364454800.2466652,173.722192921334,172.95567376012585,195.16476247511906,177.513,186.84096153846153,62.88207210667838,-3.571664685243718,-11.571687683289921,8.000022998046203,214.68777830092893,165.85750000000002,117.02722169907109,0.5888220707647096,1.1413285176669627,22.548571428571424,2553852.5271650003,1.3591220434694053,21.253449373806,55.92329739320323,24.30094657817432,82.61668797953965
2020-02-10,228.53,288.41,216.37,258.85,5939621.23312,2020-02-16 23:59:59.999,1531193362.1799345,2394220,2953738.53551,761172078.9127183,189.19997602654598,181.136085782971,197.66222277021245,178.62866666666667,189.24673076923077,67.03221718574841,3.6062067067379076,-8.536108805284355,12.142315512022263,234.50972277732103,170.338,106.16627722267897,0.7534633819502523,1.189649554112338,26.642142857142858,2974796.6203220002,1.996647835534074,13.2872335769618,55.19515558486723,84.94569877107745,93.53271028037385
2020-02-17,258.89,285.88,242.0,274.48,5188469.50121,2020-02-23 23:59:59.999,1365458324.5497403,2050507,2582645.83363,679770916.459762,204.70543493081033,190.025982375069,200.67468462236099,180.72400000000002,191.98480769230767,71.01919688398405,10.43563635337037,-4.741759773553411,15.177396126923782,254.84499978226535,175.557,96.26900021773461,0.9032735781799115,1.1238207564300702,28.88214285714286,3363186.801702,1.5427241503755555,6.038246088468213,63.517216728225904,82.10044450341674,107.78198334595004
2020-02-24,274.5,277.2,210.0,217.81,6457932.90023,2020-03-01 23:59:59.999,1511709841.3658957,2235415,3143394.41318,735715739.7301533,207.08808312520844,192.6720792917291,201.34665777442527,180.59133333333335,193.66192307692307,67.0372477787018,11.146720704967066,-1.5640636778493158,12.710784382816382,258.8962088534136,177.398,95.8997911465864,0.9188176738566796,0.7479318292300562,30.392142857142854,3714765.4659440005,1.7384496974128358,-20.646313028271646,15.585862874124402,44.78197287955332,66.77641653905056
2020-03-02,217.81,251.93,195.5,199.43,5137680.00487,2020-03-08 23:59:59.999,1169342351.3560936,1791263,2521267.70394,574724535.5743561,205.69570437517052,193.3156907877549,201.2714947244478,180.025,194.89384615384614,60.31430023720773,10.110599092058862,0.7708688761323199,9.339730215926542,260.68761440862465,178.6085,96.5293855913753,0.9190952771970503,0.6268379913088594,32.555,4040985.2630970003,1.2713929080088988,-8.438547357788895,-12.718280887566191,39.99017268005054,47.32215409618084
2020-03-09,199.43,208.62,86.0,123.78,14789815.70106,2020-03-15 23:59:59.999,2178346698.8139024,4031990,7286238.5366,1073180703.7420324,190.80193994332132,186.69324404606397,198.232612578391,177.67333333333335,194.60750000000002,45.719881839198564,3.148844562377974,1.2464640133814509,1.902380548996523,261.20460041995324,175.60999999999999,90.01539958004673,0.9748260397466347,0.1972355747576005,40.68285714285714,5340440.7734860005,2.769399817050283,-37.93310936168079,-52.1807996909407,-6.291165114694531,-10.737722650897808
